Date,Year,Aircraft Type,Manufacturer,Registration,Operator,Fatalities,Location,Damage,Causes,Total Seats,Everyone Involved
29-Dec-24,2024,Boeing 737-8AS (WL),Boeing,HL8088,Jeju Air,179,Muan International Airport (MWX/RKJB),w/o,Bird Strike,181,181
21-Mar-22,2022,Boeing 737-89P (WL),Boeing,B-1791,China Eastern Airlines,132,"20 km SW of Wuzhou, Tengxian County",w/o,Pilot Error,132,132
15-Jan-23,2023,ATR 72-500 (72-212A),ATR,9N-ANC,Yeti Airlines,72,2 km WNW of Pokhara International Airport (VNPR),w/o,Mechanical Failure,72,72
9-Jan-21,2021,Boeing 737-524 (WL),Boeing,PK-CLC,Sriwijaya Air,62,19 km NE of Jakarta-Soekarno-Hatta International Airport (CGK),w/o,Maintenance ,62,62
9-Aug-24,2024,ATR 72-500 (72-212A),ATR,PS-VPB,Voepass Linhas Aéreas,62,"near Vinhedo, SP",w/o,Undetermined,62,62
4-Jul-21,2021,Lockheed C-130H Hercules,Lockheed,5125,Hukbong Himpapawid ng Pilipinas (Philippine Air Force),53,"Patikul, Sulu",w/o,Undetermined,96,99
25-Dec-24,2024,Embraer ERJ-190AR,Embraer,4K-AZ65,Azerbaijan Airlines,38,5 km NW of Aktau Airport (SCO/UATE),w/o,Miscellaneous,67,67
6-Jul-21,2021,Antonov An-26B-100,Antonov,RA-26085,Kamchatka Aviation Enterprise,28,"3,8 km NW of Palana Airport",w/o,Pilot Error,28,28
29-May-22,2022,de Havilland Canada DHC-6 Twin Otter 300,de Havilland Canada,9N-AET,Tara Air,22,Sanosware,w/o,Pilot Error,22,22
6-Nov-22,2022,ATR 42-500,ATR,5H-PWF,Precision Air,19,off Bukoba Airport (BKZ),sub,Pilot Error,43,43
24-Jul-24,2024,Bombardier CRJ-200ER,Bombardier,9N-AME,Saurya Airlines,18,Kathmandu-Tribhuvan Airport (KTM/VNKT),w/o,Pilot Error,19,19
10-Oct-21,2021,Let L-410UVP-E3,Let,RF-94591,DOSAAF,16,"1,7 km E of Menzelinsk Airport",w/o,Mechanical Failure,22,22
12-Mar-24,2024,Ilyushin Il-76MD,Ilyushin,RF-76551,117 VTAP Russian Air Force,15,"near Ivanovo Severny Air Base, Ivanovo Oblast",w/o,Fire,15,15
